Video ID,Playlist Video Creation Timestamp
G0JMs7Q3j_o,2021-09-24T02:49:31+00:00
bn_p95HbHoQ,2021-09-24T02:49:39+00:00
qTUnDV3MgVQ,2021-09-24T02:50:09+00:00
BYkP4WRM118,2021-09-24T02:50:12+00:00
c0f8ZYdorcA,2021-09-24T02:50:15+00:00
sElE_BfQ67s,2021-09-24T02:50:23+00:00
SXKGawGf4Ls,2021-09-24T02:50:30+00:00
XlRpTmAeAkw,2021-09-24T02:50:40+00:00
57BwHKcrO5o,2021-09-24T02:50:47+00:00
__jVv4jX6rs,2021-09-24T02:51:24+00:00
r2yhskAS040,2021-09-24T02:51:39+00:00
YGwahr-rGUM,2021-09-24T02:51:51+00:00
p4-oK-iZGVc,2021-09-24T02:52:53+00:00
CUjIY_XxF1g,2021-09-24T02:53:00+00:00
gEdZFhCEjWI,2021-09-24T02:53:13+00:00
AnDw2A_PT74,2021-09-24T02:53:18+00:00
2aD5nCmxSE8,2021-09-24T02:54:51+00:00
pDOp8yH041g,2021-09-24T02:55:57+00:00
0Xyao-xOtdQ,2021-09-24T02:56:17+00:00
VwgTm70Njs8,2021-09-24T02:56:42+00:00
mCAu_s5sLg4,2021-09-24T02:56:59+00:00
EYr9T14r1sk,2021-09-24T02:58:43+00:00
llwmvABzbg4,2021-09-24T02:59:04+00:00
J6i-BIMPY64,2021-09-24T02:59:27+00:00
pjdRbxHMuRI,2021-09-24T03:01:57+00:00
ep6omwouHjk,2021-09-24T03:02:21+00:00
Y-cvpMeUcJc,2021-09-24T03:02:36+00:00
S6kPXH9HJvE,2021-09-24T03:03:02+00:00
mJ6wkOO_MEA,2021-09-24T03:03:22+00:00
b8Te03XC6I4,2021-09-24T03:03:41+00:00
ZDST3YjNyfw,2021-09-24T03:04:29+00:00
O-nusMXwzNw,2021-09-24T03:04:59+00:00
rm84KZYplsg,2021-09-24T03:05:07+00:00
c_K6YSNHdgI,2021-09-24T03:06:07+00:00
H527j7UR5IE,2021-09-24T03:06:29+00:00
TuQjzPfxACE,2021-09-24T03:06:47+00:00
iGkDE2Gakow,2021-09-24T03:07:55+00:00
W-yoGx3uEOw,2021-09-24T03:08:21+00:00
eLjd43KVaAg,2021-09-24T03:08:31+00:00
uovntV3ZMDc,2021-09-24T03:09:31+00:00
RwWoK0cHOqM,2021-09-24T03:10:06+00:00
pidyM6q61Zk,2021-09-24T03:11:27+00:00
8fm_Kjd-4NY,2021-09-24T03:15:34+00:00
9BOYVIpDtAw,2021-09-24T03:15:56+00:00
XOsdLrYg66I,2021-09-24T03:16:20+00:00
r7vDNF8Cl6I,2021-09-24T03:16:30+00:00
P3AauVpy7IU,2021-09-24T03:17:50+00:00
-5kpcRXePOQ,2021-09-24T03:18:49+00:00
PEmqJBcQ2lg,2021-09-24T03:23:00+00:00
9TaaxDVFyos,2021-09-25T19:24:49+00:00
QRiKhi4CwoA,2021-10-20T19:03:14+00:00
aGpeD2LJKpE,2021-10-27T21:55:26+00:00
c_K6YSNHdgI,2021-10-31T05:41:41+00:00
2JVMDNntVDQ,2021-10-31T05:41:57+00:00
TuQjzPfxACE,2021-10-31T05:42:15+00:00
Bd1_XW1COtg,2021-12-02T20:40:42+00:00
dphLfJvljqA,2022-01-13T21:55:35+00:00
USjjVesVnA8,2022-01-13T21:57:16+00:00
Cvw9OAMQBrM,2022-03-07T03:45:29+00:00
zDTmv-CPJZY,2022-03-15T17:49:32+00:00
